Topic,Count,Name,Representation,Representative_Docs
-1,106,-1_in_ukraine_the_of,"['in', 'ukraine', 'the', 'of', 'tank', 'bucha', 'to', 'and', 'geoengineering', 'russia']","['Remember when Ukraine killed their peace negotiation and tried to blame it on Russia? Or when a Ukrainian tank killed multiple Ukrainian civilians and tried to blame it on Russia before dozens of civilians who live in the area were interviewed and every one said it was ukraine?', 'Harvard’s Solar Geoengineering Research is seeking an experienced leader and manager from the realm of environmental public policy to serve as its Executive Director.', 'Just got this email... Harvard’s Solar Geoengineering Research Program (SGRP) is seeking an experienced leader and manager from the realm of environmental public policy to serve as its Executive Director. We would greatly appreciate your help with publicizing the opportunity.']"
0,65,0_bill_gates_sun_block,"['bill', 'gates', 'sun', 'block', 'to', 'the', 'out', 'wants', 'he', 'dust']","['Remember Bill Gates wanted to block out the sun', 'Why does bill gates want to block the sun ?', 'What about Bill Gates trying to block out the sun?']"
1,60,1_hitler_magazine_time_cover,"['hitler', 'magazine', 'time', 'cover', 'putin', 'is', 'of', 'not', 'the', 'with']","[""No, a TIME magazine cover with Vladimir Putin’s face superimposed on Adolf Hitler is not real If it looks like a duck then it's a duck, this guy is a bad man."", 'they should use this for the cover of Time Magazine instead of that Putin-Hitler crap', 'No, Putin Was Not Compared to Hitler on the Cover of Time Magazine via']"
2,54,2_alaska_biden_sell_russia,"['alaska', 'biden', 'sell', 'russia', 'to', 'back', 'oil', 'fact', 'selling', 'the']","['Biden should sell Alaska back to the Russians so digging for oil can start up again', 'Fact check: Satirical claim that Biden is selling Alaska to Russia', ""I'm waiting for Biden to sell Alaska back to Russia so they can drill for oil and sell it to us. 😂""]"
3,53,3_putin_banned_rothschild_ban,"['putin', 'banned', 'rothschild', 'ban', 'from', 'family', 'and', 'the', 'banking', 'entering']","['FACT CHECK: Has Vladimir Putin Banned The Rothschild Banking Family From Russia?', 'Smart move. Putin has Banned Rothschild and His New World Order Banking Cartel Family from Entering Russian Territory | CSGlobe', 'Why ww3 read this Putin has Banned Rothschild and His New World Order Banking Cartel Family from Entering Russian Territory - CSGlobe Ukraine war us']"
4,53,4_zelensky_poland_fled_to,"['zelensky', 'poland', 'fled', 'to', 'ukraine', 'in', 'the', 'and', 'he', 'war']","[""Zelensky is NOT in Kyiv, and he hasn't been for weeks. He fled to Italy, and then to Poland where he is now. The MSM is all fake lies, you have to wake up. There's literally Neo Nazis, with guns, enforcing laws, and control over citizens in Ukraine. How do you think that's going?"", 'So now you support Zelensky who has fled Ukraine and is hiding in the US embassy in Poland because his own people want to assassinate him. Do you want a nuclear war?', 'RT : “Zelensky fled to Poland and is \'hiding in US embassy,’ Ukrainian lawmaker claims” ""Zelensky left Ukraine. Deputies of th…']"
5,52,5_election_bribery_zuckerberg_milwaukee,"['election', 'bribery', 'zuckerberg', 'milwaukee', 'mark', 'officials', 'zuckerbergrelated', 'wisconsin', 'money', 'case']","['Interesting ... Milwaukee Officials Sued in Zuckerberg-Related Election Bribery Case', 'Milwaukee officials face A Zuckerberg-related ELECTION BRIBERY lawsuit via', 'Milwaukee officials face Zuckerberg-related election bribery lawsuit via']"
6,49,6_clinton_trump_spy_hillary,"['clinton', 'trump', 'spy', 'hillary', 'campaign', 'on', 'spied', 'dnc', 'the', 'to']","['You may have missed it this week as your head is so far up ‘s back side, but the FEC fined the Clinton campaign and the DNC for hiring a foreign spy to create the fake dossier. The Trump / Russia ‘collusion’ was a hoax you continue to peddle those lies', 'Your daily reminder that Hillary Clinton spied on Donald Trump’s White House. If you voted for Hillary Clinton, and complain about Trump, you literally have no room to talk. Hillary is owned by Goldman Sachs,', 'Hillary Clinton spied on Trump, when he was in office.']"
7,47,7_embassy_canada_russian_statement,"['embassy', 'canada', 'russian', 'statement', 'in', 'the', 'russia', 'from', 'and', 'is']","['OFFICIAL STATEMENT BY RUSSIAN EMBASSY IN CANADA...', 'same with the Russian Embassy in Canada', '👀👉 Russia Embassy statement to Canada👈']"
8,47,8_lenna_anastasiia_miss_military,"['lenna', 'anastasiia', 'miss', 'military', 'her', 'former', 'she', 'ukraine', 'joined', 'queen']","['No, former Ukrainian beauty queen Anastasiia Lenna has not joined the Ukrainian military to fight Russians.', 'Who is Anastasiia Lenna? Former Miss Ukraine who joined Ukrainian army to fight against Russia', 'Former Miss Ukraine Anastasiia Lenna has clarified that photos of her which went viral showing the beauty queen holding arms were meant to ""inspire"" people to join the military. She, herself, did not join the military.']"
9,47,9_grapefruit_overdose_with_cause,"['grapefruit', 'overdose', 'with', 'cause', 'risk', 'antidepressants', 'lycopene', 'it', 'my', 'juice']","[""RT : Can eating grapefruit while on antidepressants cause a fatal overdose? Fortunately, NO, there's no evidence to corroborate this claim confirms ⬇️💊 antidepressants grapefruit"", '🚨📢‼️ DONT EAT GRAPEFRUIT IF YOUR ON ANTI-DEPRESSANTS IT CAN CAUSE A FATAL OVERDOSE ‼️📢🚨', 'Reminder to all my anti-depressant taking peeps not to eat grapefruit or drink grapefruit juice because it can affect how you metabolize your medicine and cause overdose. Ok love u bye.']"
10,45,10_compass_earth_flat_magnetic,"['compass', 'earth', 'flat', 'magnetic', 'the', 'earths', 'field', 'is', 'north', 'pole']","['With that logic, every compass and map on earth is clear evidence the earth is flat. Wow… and you are an engineer?', 'The earth is actually flat!', 'The Compass Proves Flat Earth 🧭']"
11,42,11_management_forest_climate_change,"['management', 'forest', 'climate', 'change', 'wildfires', 'the', 'coast', 'of', 'and', 'on']","['Does human forest management have more impact on forests than climate change will have?', 'Forest management is not raking the forest floor as Trump advocates. Yes controlled burns are a good management solution but people are wary of the associated smoke. Trump seems to not realize that most of the fire is burning on National forest land that he’s responsible for.', 'Arson and bad forest management is not climate change']"
12,40,12_tank_ebay_russian_on,"['tank', 'ebay', 'russian', 'on', 'for', 'used', 'tanks', 'scale', 'farmer', 'tamiya']","[""so the ebay listing for a working russian tank wasn't a joke!"", 'Russian Tank t72 eBay', 'A Russian Tank of EBay']"
13,38,13_staged_real_war_not,"['staged', 'real', 'war', 'not', 'is', 'it', 'the', 'and', 'that', 'its']","['So, this is a real war, not a staged battle just like shown on many media?', 'There is war, that we know. I stumbled even on a Twitter corner full of folks that proclaim that the war is not even real, that it’s all staged. That’s where is my line. It is war, and the longer it keeps going, the more F’ed up it will be and the more reality will be blurred.', 'A real war would not require so many fake and staged photos and videos posted all over. I think Putin is just playing his part as the bad guy. They have to get the West hating Russia and Russia hating the west to get the real WWIII going. This is a staged pep rally for idiots.']"
