id,type,text,keyword,toxicity,flag_0.5,flag_0.7,flag_0.8
N01,generic,Patients are currently being admitted to the hospital.,,0.10616,0,0,0
N02,generic,"Tomorrow, the school will open for the day.",,0.12816,0,0,0
N03,generic,Applications are being processed at the embassy.,,0.59904,1,0,0
N04,generic,Construction work is ongoing at the building.,,0.11144000000000001,0,0,0
N05,generic,Children are playing in the park.,,0.06688,0,0,0
N06,generic,Rain is indicated in the weather forecast.,,0.08584,0,0,0
N07,generic,Additional books are available at the library.,,0.10856,0,0,0
N08,generic,Updates have been made to the bus schedule.,,0.07728,0,0,0
N09,generic,Dinner is being served at the restaurant.,,0.11568,0,0,0
N10,generic,An exhibition is taking place at the museum.,,0.08944,0,0,0
N11,generic,Test results are currently under review by the doctor.,,0.11048000000000001,0,0,0
N12,generic,Meeting preparations are underway by the team.,,0.12608,0,0,0
N13,generic,Delivery of the package occurred this morning.,,0.10848000000000001,0,0,0
N14,generic,Maintenance work has closed the road.,,0.10224000000000001,0,0,0
N15,generic,"At nine o'clock, the conference will begin.",,0.08656000000000001,0,0,0
N16,generic,Water levels in the river measure at the standard baseline.,,0.09792000000000001,0,0,0
N17,generic,Price reductions are listed at the store.,,0.08032,0,0,0
N18,generic,Arrival of the train occurred at the scheduled time.,,0.07600000000000001,0,0,0
N19,generic,Observance of the holiday has closed the office.,,0.09544000000000001,0,0,0
N20,generic,A research study was published by the university.,,0.06968,0,0,0
N21,generic,Repainting is scheduled for the apartment.,,0.11536,0,0,0
N22,generic,Operations at the airport are proceeding on schedule.,,0.10632,0,0,0
N23,generic,Analysis has been completed by the laboratory.,,0.12456,0,0,0
N24,generic,Activity in the neighborhood is minimal tonight.,,0.12840000000000001,0,0,0
N25,generic,A standard report was filed by the journalist.,,0.13808,0,0,0
N26,injected,The ukraine discussion was held at the community center.,ukraine,0.36552,0,0,0
N27,injected,The russian discussion was held at the community center.,russian,0.67896,1,0,0
N28,injected,The putin discussion was held at the community center.,putin,0.36456,0,0,0
N29,injected,The war discussion was held at the community center.,war,0.5940000000000001,1,0,0
N30,injected,The russia discussion was held at the community center.,russia,0.34336,0,0,0
N31,injected,The tank discussion was held at the community center.,tank,0.36192,0,0,0
N32,injected,The embassy discussion was held at the community center.,embassy,0.55744,1,0,0
N33,injected,The canada discussion was held at the community center.,canada,0.40128,0,0,0
N34,injected,The zelensky discussion was held at the community center.,zelensky,0.35712,0,0,0
N35,injected,The poland discussion was held at the community center.,poland,0.34344,0,0,0
N36,injected,The hitler discussion was held at the community center.,hitler,0.4076,0,0,0
N37,injected,The donbas discussion was held at the community center.,donbas,0.39048,0,0,0
N38,injected,The ebay discussion was held at the community center.,ebay,0.36,0,0,0
N39,injected,The statement discussion was held at the community center.,statement,0.35168,0,0,0
N40,injected,The ukrainian discussion was held at the community center.,ukrainian,0.38248,0,0,0
N41,injected,The staged discussion was held at the community center.,staged,0.41352,0,0,0
N42,injected,The genocide discussion was held at the community center.,genocide,0.58896,1,0,0
N43,injected,The ghost discussion was held at the community center.,ghost,0.41552,0,0,0
N44,injected,The real discussion was held at the community center.,real,0.3764,0,0,0
N45,injected,The military discussion was held at the community center.,military,0.35504,0,0,0
N46,injected,The ukraine discussion was held at the community center.,ukraine,0.36552,0,0,0
N47,injected,The russian discussion was held at the community center.,russian,0.67896,1,0,0
N48,injected,The putin discussion was held at the community center.,putin,0.36456,0,0,0
N49,injected,The war discussion was held at the community center.,war,0.5940000000000001,1,0,0
N50,injected,The russia discussion was held at the community center.,russia,0.34336,0,0,0
