topic,event_id,label,tweet_id,text,clean,toxicity,flag_0.5,flag_0.7,flag_0.8
Misc,EN34,False,1508157033119457288,"Zuckerberg, Soros, Gates &; other wealthy people flood elections with money all over the country in order to get people with their values &; interests elected to office.

Milwaukee Officials Sued in Zuckerberg-Related Election Bribery Case https://t.co/EwBAg9AujF via @epochtimes","Zuckerberg, Soros, Gates &; other wealthy people flood elections with money all over the country in order to get people with their values &; interests elected to office. Milwaukee Officials Sued in Zuckerberg-Related Election Bribery Case via",0.12240000000000001,0,0,0
Misc,EN35,False,1511297133630083073,"Sussmann's lie to Baker was always in writing. 

There was a text message and Durham held it back until now.

Should be noted that Hillary Clinton via her campaign &; the DNC was paying these private cyber contractors to spy on Trump during the 2016 Presidential campaign, and the","Sussmann's lie to Baker was always in writing. There was a text message and Durham held it back until now. Should be noted that Hillary Clinton via her campaign &; the DNC was paying these private cyber contractors to spy on Trump during the 2016 Presidential campaign, and the",0.08984,0,0,0
Misc,EN33,False,1506447640267202560,"Bill Gates has done more to damage human life than any other person on earth, he literally tried to block out the sun, claim all of your data on Microsoft computers as his own, promoted mandating experimental gene therapy, organized a world war. And morons are saying ""Putler"".","Bill Gates has done more to damage human life than any other person on earth, he literally tried to block out the sun, claim all of your data on Microsoft computers as his own, promoted mandating experimental gene therapy, organized a world war. And morons are saying ""Putler"".",0.8028000000000001,1,1,1
Misc,EN32,False,1316479807941566465,@LaurelCottageMa @SenKamalaHarris You mean their Antifa supporters who start forest fires?,You mean their Antifa supporters who start forest fires?,0.06264,0,0,0
Misc,EN32,Other,1325518022438756356,"@ramencult I've mentioned once or twice before. The lack of Federal response to the wildfires on the west coast was especially galling to me given that much of the land is under Federal management.
https://t.co/WGlDGlHLig",I've mentioned once or twice before. The lack of Federal response to the wildfires on the west coast was especially galling to me given that much of the land is under Federal management.,0.0896,0,0,0
Misc,EN35,False,1509986902086144008,"Why is it that Mrs. Bill Clinton and the DNC are not being tried for treason for misinforming the public for 5 years about President Trump, using taxpayer dollars to spy on a political opponent and defame him?  If a Republican did this there would be a very different outcome.","Why is it that Mrs. Bill Clinton and the DNC are not being tried for treason for misinforming the public for 5 years about President Trump, using taxpayer dollars to spy on a political opponent and defame him? If a Republican did this there would be a very different outcome.",0.12936,0,0,0
Misc,EN31,Other,1327335803249278977,"@FrancaRose33 @Tampke @johnralloa @FrankTompkins1 @photoartist9 @badjin_rank @Peaches_Sabrina @kittyst0mper @CoxsTench @extremecompute @yammerapple @garner_forest @FlynDutchman466 @theHazelverse @rincewind_t @it_is_me_GH @RomanthaAries @mikeinmarlton @kristenschaaled @TheJeffBradley @insaneknight85 @BidenInsultBot Franca, we're nearly a year into this thing, and Trumpers still don't have a clue as to the basics of virus suppression &; mitigation. It's a testament to Trump's nonexistent crisis management &; poor leadership. He left his own supporters defenseless to the slaughter.","Franca, we're nearly a year into this thing, and Trumpers still don't have a clue as to the basics of virus suppression &; mitigation. It's a testament to Trump's nonexistent crisis management &; poor leadership. He left his own supporters defenseless to the slaughter.",0.08232,0,0,0
Misc,EN36,Other,1495527965937090569,@RockyMountViews Grapefruit and banana so far.,Grapefruit and banana so far.,0.10696,0,0,0
Misc,EN33,Other,1493057408502951939,"@gyneth007 @1_TMF_ @_Lost_My_Way_ @Theresa1Voyce @TheWhogg @abrashashapirus @TerranceandPhi1 @Rhianno40418828 @JaggerMickOZ @KCTaz @awright_1983 @swcrisis @ErikPar51701323 @AustralisPiper @Michael_D_Crow @TakeThatDarwin @Tokyo_Tom @earthisaglobe @ElQuesoSabio @MartinDn1001 @NoelTurner194 @Enigma_2626 @3GHtweets @dunvirkin @Kenneth72712993 @Camburnclimate @EthonRaptor @coolvideolights @lapogus1 @LisaMarOz @ellecam7 @Patrickohennes4 @Cole44749821 @CEF_1914 @chuzbucket @GillesnFio @NikolovScience @grantde @CymaticWave @Gladfly1 @dvibrationz @Cosmic_Engineer @prodreamer1 @ADevotedYogi @bjames280961 @badmoonrising11 @elmarveerman @Achilles_1985 @PolAnimalAus @roberto_cojones agreed ""Professor David Keith Admits Many Thousands will Die from Harvard Solar Geoengineering Program 2018""    https://t.co/6UfBbS8Z4k","agreed ""Professor David Keith Admits Many Thousands will Die from Harvard Solar Geoengineering Program 2018""",0.10848000000000001,0,0,0
Misc,EN31,Other,1327761825849438208,"@cathmckenna @TurnbullMalcolm Your a fucking idiot, of course climate is changing, it always has and always will, you, the rat turdeau  , butts your friends and the rest of you cronies are vested in green energy under the guise of climate change but in actuality it’s for further enrichment, on taxpayers backs","Your a fucking idiot, of course climate is changing, it always has and always will, you, the rat turdeau , butts your friends and the rest of you cronies are vested in green energy under the guise of climate change but in actuality it’s for further enrichment, on taxpayers backs",0.52392,1,0,0
Misc,EN38,Other,1494091233395892226,"@PaulcBitcoin @KonstantinKisin Been listening to bill gates a little too much, eh? I’m guessing you’re also a big fan of abortion?","Been listening to bill gates a little too much, eh? I’m guessing you’re also a big fan of abortion?",0.10216,0,0,0
Misc,EN39,Other,1511387840407560193,The Last Word with Matt Cooper https://t.co/q7Vq2yeBEv via @todayfm The State of Alaska is in a state of disbelief that Sara Palin is running for office from her perch looking over at Russia.,The Last Word with Matt Cooper via The State of Alaska is in a state of disbelief that Sara Palin is running for office from her perch looking over at Russia.,0.36312,0,0,0
